id,assess_id,assess_date
1,6332,03/08/2016
2,10100,04/13/2022
3,10360,12/01/2022
4,10364,10/15/2022
5,10532,04/21/2023
6,9317,11/06/2021
7,10408,11/10/2022
8,10236,02/16/2023
9,10035,06/16/2023
10,10672,05/02/2023
11,9107,01/21/2021
12,9667,06/10/2022
13,10296,09/15/2022
14,9161,12/15/2020
15,8652,07/17/2019
16,9109,12/07/2020
17,10216,05/02/2023
18,9838,02/19/2022
19,10005,09/07/2022
20,9566,04/13/2022
21,10685,04/17/2023
22,10692,05/24/2023
23,10690,04/14/2023
24,10694,05/24/2023
25,10693,05/24/2023
26,10688,04/14/2023
27,9985,09/01/2021
28,10328,06/01/2022
29,9815,05/16/2023
30,10006,10/01/2021
31,10955,11/24/2023
32,10368,11/10/2022
33,10305,10/13/2022
34,11205,11/01/2023
35,10514,02/24/2023
36,10169,04/29/2022
37,10390,12/03/2022
38,9647,04/22/2022
39,10163,06/04/2022
40,8674,08/21/2020
41,10673,05/16/2023
42,8745,08/20/2019
43,11436,12/19/2022
44,9091,09/28/2020
45,10218,09/20/2020
46,10662,05/30/2023
47,8019,08/22/2019
48,8358,04/03/2019
49,10755,05/02/2023
50,7550,10/18/2016
51,10708,02/23/2024
52,10409,12/13/2022
53,10927,01/31/2024
54,9865,03/29/2022
55,9866,03/31/2022
56,9867,04/28/2022
57,10932,11/13/2023
58,10959,05/01/2023
59,9738,06/03/2022
60,9737,06/03/2022
61,10536,02/17/2023
62,10377,11/21/2022
63,9615,09/08/2022
64,8210,06/13/2017
65,9786,09/15/2022
66,10935,12/11/2023
67,9163,10/19/2020
68,9182,10/19/2020
69,9187,10/15/2020
70,9188,10/15/2020
71,10916,02/12/2024
72,10181,04/29/2022
73,9445,10/26/2021
74,10170,05/01/2022
75,9179,01/29/2020
76,9841,07/07/2021
77,9586,08/31/2020
78,10545,03/07/2023
79,10805,09/22/2023
80,9825,04/13/2022
81,10159,11/23/2022
82,8119,10/30/2017
83,8137,10/18/2017
84,8633,09/27/2019
85,8636,09/27/2019
86,8637,09/27/2019
87,9318,10/07/2019
88,10759,09/20/2023
89,10786,09/20/2023
90,11000,11/09/2024
91,9917,03/16/2023
92,10145,05/11/2022
93,10157,05/12/2022
94,10535,03/09/2023
95,10196,02/21/2017
96,10227,02/24/2022
97,11438,04/09/2024
98,9395,09/16/2019
99,8525,01/30/2018
100,9706,11/01/2023
101,10635,01/15/2024
102,9515,04/05/2022
103,9765,03/17/2022
104,11056,11/08/2023
105,11295,03/10/2024
106,6972,01/29/2016
107,8605,02/01/2019
108,10173,06/17/2022
109,9818,02/28/2021
110,9767,01/06/2021
111,11257,09/09/2022
112,8144,01/17/2018
113,10404,10/15/2022
114,8688,09/20/2019
115,9839,11/08/2021
116,9457,06/23/2022
117,9736,10/20/2021
118,7914,08/16/2018
119,9695,02/01/2022
120,10691,06/20/2023
121,9081,06/05/2020
122,8576,10/11/2018
123,10527,03/27/2023
124,10780,09/12/2023
125,10801,09/12/2023
126,9817,03/16/2022
127,10160,07/27/2022
128,8641,10/15/2019
129,10286,09/16/2022
130,9945,08/09/2021
131,8634,01/23/2020
132,10138,05/02/2022
133,9807,03/11/2022
