license_num,facility_name,phone_num,action_comment
5926698,Acton X-Ray & Ultrasound,519-853-0182,Met standards.
6054808,Ajax Urology Associates,905-426-9426,Met standards.
2273702,Baywood X-Ray and Ultrasound,905-428-0444,Met standards.
5461818,Custom Vision & Cosmetic Centre,905-721-1211,Met standards.
2108881,Durham Pulmonary and Sleep Services Inc.,905-239-1119,Met standards.
6991291,GNMI MRI & CT,905-426-8976,Met standards.
6521323,Harwood X-Ray and Ultrasound,905-683-8877,Met standards.
1055313,Jonah Service Corp.,905-426-3111,Met standards.
5443988,Ontario Fertility Centres Inc.,289-660-1034,Met standards with some recommendations made for improvement.
9401190,Westney Heights Diagnostic Centre,905-686-9729,Met standards.
3876219,Alliston Diagnostic Centre,705-434-0074,Met standards.
2331095,Amherstburg X-Ray,519-736-9548,Met standards.
301510,Ancaster X-Ray and Ultrasound,905-648-5900,Met standards.
1813587,MyHealth Centre,519-672-0070,Met standards.
7541489,Aurora Medical Centre X-Ray & Ultrasound,905-727-6232,Met standards.
7458845,X-Ray Associates,905-751-1500,Met standards.
7476710,Aylmer Ultrasound,519-773-3683,Met standards.
5739908,Barrie Sleep Disorders Clinic,705-726-2231,Met standards.
8193853,Barrie Vascular Imaging,705-728-8778,Met standards.
9652595,Barrie Women's Health Centre Infertility & Obstetrics,613-824-3252,Met standards.
3630988,Dr. Donald R. Nixon,705-737-3737,Met standards.
9478578,Georgian Radiology Consultants - Bellfarm,705-722-8036,Met standards.
6739562,Georgian Radiology Consultants - Huronia,705-739-1028,Met standards.
1309436,Georgian Radiology Consultants - Little Lake,705-722-8036,Met standards.
3121417,Georgian Radiology Consultants - Wellington,705-722-8036,Met standards.
1255307,Georgian Radiology Consultants - Yonge,705-739-1028,Met standards.
604590,Lumea,416-663-3937,Facility has not been assessed during current ownership.
6099661,Beamsville Diagnostic Imaging,905-563-5000,Facility has not been assessed during current ownership.
8077929,Beaverton X-Ray and Ultrasound,705-504-0880,Met standards.
735119,2601398 Ontario Inc.,613-824-3252,Facility has not been assessed during current ownership.
203501,Belle River Imaging Services,519-727-3993,Met standards.
5962650,Belleville Medical Arts X-Ray and Ultrasound,416-781-2050,Met standards.
3987671,Belleville X-Ray & Ultrasound Ltd.,613-969-0264,Met standards.
5981712,Dr. Nancy Chen Medicine Professional Corp.,613-961-1600,Facility has not been assessed during current ownership.
10105,Kente X-Ray & Ultrasound Ltd.,613-962-4226,Met standards.
3363065,Ophthalmology Clinic,613-961-7440,Met standards.
492134,Quinte Regional Sleep Clinic,613-966-5725,Met standards with some recommendations made for improvement.
5655971,Bolton Medical Imaging,905-857-0779,Met standards.
1192028,Bowmanville Centre For Sleep Disorders Inc.,905-697-0832,Met standards.
1330087,Bowmanville X-Ray and Ultrasound,905-623-4512,Met standards.
1816720,Central X-Ray & Ultrasound,905-775-8404,Met standards.
9364847,Bramalea X-Ray and Ultrasound,905-793-5858,Met standards.
3406812,Brampton Respirology,905-595-2870,Facility has not been assessed during current ownership.
8179104,Brampton Sleep Clinic,905-456-3699,Met standards.
8093940,Brampton Vascular Imaging,905-230-2999,Facility has not been assessed during current ownership.
6218000,Brampton Vascular Institute,905-455-4414,Met standards.
5935623,Brampton West Radiology,905-789-5627,Met standards.
3043514,Cottrelle Diagnostic Imaging,905-794-0626,Met standards.
5505751,Elite Diagnostics X-Ray & Ultrasound,905-454-3305,Met standards with some recommendations made for improvement.
4076856,Finchgate X-Ray and Ultrasound,905-792-8440,Met standards.
2523136,Gillingham Ultrasound,905-794-9060,Met standards.
3452164,Gore Diagnostic Imaging,905-913-0222,Met standards.
1391236,Heart Lake X-Ray & Ultrasound,905-846-7733,Met standards.
6158120,MyHealth Centre,,Met standards.
5006169,MyHealth Centre,,Met standards with some recommendations made for improvement.
9491544,MyHealth Centre,,Met standards.
9966412,MyHealth Centre,905-796-4590,Met standards.
